neighborhood	ada	issue_date	status	organization_id	subject	amounts	afms	adams	matched_terms	url
ippokrateio_cleaning_and_food	648Β469067-ΝΞ6	2023-06-28T00:00:00+00:00	PUBLISHED	99222000	ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ 3322/28-6-2023	1,00,158.080,22	999432325		Διανομής και Παρασκευής Φαγητού	https://diavgeia.gov.gr/doc/648Β469067-ΝΞ6
ippokrateio_cleaning_and_food	66ΒΡ469067-ΓΧΤ	2023-01-24T00:00:00+00:00	PUBLISHED	99222000	Επικύρωση του από 11.1.2023 Πρακτικού εξέτασης των Υπεύθυνων δηλώ¬σεων οψιγενών μεταβολών της αναδόχου εταιρίας IPIROTIKI FACILITY SERVICES Α.Ε. ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΚΑΘΑΡΙΣΜΟΥ, ΕΜΠΟΡΙΚΗ ΚΑΙ ΑΝΤΙΠΡΟ¬ΣΩΠΕΙΩΝ στον ανοιχτό, δημόσιο, διεθνή ηλεκτρονικό διαγωνισμό για την ανά¬θεση των υπηρεσιών «Διανομής και παρασκευής φαγητού» (CPV 55322000-3), για χρονικό διάστημα ενός (1) έτους, με αριθμό διακήρυξης 60/2022 και συστη¬μικό αριθμό 161649, συνολικής προϋπολογιζόμενης δαπάνης 599.558,29 € χωρίς Φ.Π.Α., η οποία διαμορφώνεται σε 743.452,28 € με Φ.Π.Α. 24%, με κριτήριο αξι¬ολόγησης την πλέον συμφέρουσα από οικονομική άποψη προσφορά βάσει τιμής (χαμηλότερη τιμή).	3.000,00,49.770,00,597.240,00,599.558,29,61.714,80,740.577,60,743.452,28	553220000,998309282	22PROC010617401	998309282,Διανομής και Παρασκευής Φαγητού	https://diavgeia.gov.gr/doc/66ΒΡ469067-ΓΧΤ
ippokrateio_cleaning_and_food	69ΓΟ469067-0ΜΑ	2023-04-12T00:00:00+00:00	PUBLISHED	99222000	Επικύρωση του από 5.4.2023 Πρακτικού ελέγχου του αιτήματος του Προϊσταμένου του Τμήματος Διατροφής, αναφορικά με το αίτημά του για ενίσχυση με προσωπικό, σε συνέχεια της από 1.2.2023 υπογεγραμ¬μένης ετήσιας Σύμβασης για τις υπηρεσίες Διανομής και Παρασκευής Φα¬γητού του με αριθ. διακ. 60/2022 Διεθνή, Δημόσιου, Ανοικτού, Ηλεκτρο¬νικού Διαγωνισμού για την ανάθεση υπηρεσιών «ΔΙΑΝΟΜΗΣ ΚΑΙ ΠΑΡΑ¬ΣΚΕΥΗΣ ΦΑΓΗΤΟΥ» (CPV 55322000-3), καθώς και του υπ’ αριθμ. πρωτ. 14515/29.3.2023 εγγράφου της αναδόχου εταιρίας IPIROTIKI FACILITY SERVISES Α.Ε.	1.820,00,2.256,80,215.000,00,26.226,00,49.770,00,52.120,00,530,00,597.240,00,599.558,29,61.714,80,618.390,00,64.628,80,657,20,74.057,76,740.577,60,743.452,28,766.803,60	553220000,998309282	22PROC010617401,23SYMV012063106	998309282,Διανομής και Παρασκευής Φαγητού	https://diavgeia.gov.gr/doc/69ΓΟ469067-0ΜΑ
ippokrateio_cleaning_and_food	6ΑΙΛ469067-8ΧΗ	2023-03-23T00:00:00+00:00	PUBLISHED	99222000	Επικύρωση της με αριθμ. 434/23.2.2023 απόφασης της κας Τιτοπούλου Αλεξάνδρας, Αναπληρώτρια Διοικήτρια, αναφορικά με την τακτοποίηση της οφειλής του Νοσοκομείου προς την εταιρεία IPIROTIKI FACILITY SERVICES S.A., που απορρέει από τα υπ’ αριθ. ΤΠΥ 1257/31.8.2022, ΤΠΥ 1417/30.9.2022, ΤΠΥ 1617/31.10.2022, ΤΠΥ 1785/31.11.2022 και ΤΠΥ 1955/27.12.2022, τιμολόγια παροχής υπηρεσιών, συνολικής αξίας 338.366,88 € για την παροχή υπηρεσιών εστίασης κατά τους μήνες Αύ¬γουστο, Σεπτέμβριο, Οκτώβριο, Νοέμβριο και Δεκέμβριο του 2022	193.726,44,240.220,78,270.679,60,29,62,31,85,338.366,88,34.350,00,40.324,00,49.991,84,49.993,08,49.995,56,49.996,80,49.998,04,49.999,28,50.000,52,50.001,76,506.121,80,59.513,80,627.591,03,63.132,12,663,00,67.669,28,67.670,52,67.699,28,713,00	553220000	19PROC005322615	Διανομής και Παρασκευής Φαγητού	https://diavgeia.gov.gr/doc/6ΑΙΛ469067-8ΧΗ
ippokrateio_cleaning_and_food	6Γ0Υ469067-Ν67	2023-03-22T00:00:00+00:00	PUBLISHED	99222000	ΧΡΗΜΑΤΙΚΟ ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ 292Β/2023		998309282		998309282,Διανομής και Παρασκευής Φαγητού	https://diavgeia.gov.gr/doc/6Γ0Υ469067-Ν67
ippokrateio_cleaning_and_food	6Η9Χ469067-ΠΞΜ	2023-03-28T00:00:00+00:00	PUBLISHED	99222000	ΧΡΗΜΑΤΙΚΟ ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ 311Β/2023		998309282		998309282	https://diavgeia.gov.gr/doc/6Η9Χ469067-ΠΞΜ
ippokrateio_cleaning_and_food	6ΙΔ7469067-ΡΣΩ	2023-03-28T00:00:00+00:00	PUBLISHED	99222000	ΧΡΗΜΑΤΙΚΟ ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ 312Β/2023		998309282		998309282	https://diavgeia.gov.gr/doc/6ΙΔ7469067-ΡΣΩ
ippokrateio_cleaning_and_food	6ΙΚ6469067-Λ6Ξ	2023-03-24T00:00:00+00:00	PUBLISHED	99222000	ΑΠΟΦΑΣΗ ΑΝΑΛΗΨΗΣ ΥΠΟΧΡΕΩΣΗΣ 1810/24-3-2023	955.868,88			ΥΠΗΡΕΣΙΕΣ ΚΑΘΑΡΙΣΜΟΥ ΚΤΙΡΙΩΝ	https://diavgeia.gov.gr/doc/6ΙΚ6469067-Λ6Ξ
ippokrateio_cleaning_and_food	6ΛΦΒ469067-Ι5Τ	2023-04-10T00:00:00+00:00	PUBLISHED	99222000	ΧΡΗΜΑΤΙΚΟ ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ 379Β/2023		998309282		998309282,Διανομής και Παρασκευής Φαγητού	https://diavgeia.gov.gr/doc/6ΛΦΒ469067-Ι5Τ
ippokrateio_cleaning_and_food	6ΦΛ0469067-Φ1Μ	2023-02-16T00:00:00+00:00	PUBLISHED	99222000	Ορισμός τριμελούς επιτροπής με έργο τη σύνταξη των τεχνικών προδιαγραφών και τον καθορισμό της προϋπολογιζόμενης δαπάνης του διαγωνισμού για την ανάθεση υπηρεσιών «ΔΙΑΝΟΜΗΣ ΚΑΙ ΠΑΡΑΣΚΕΥΗΣ ΦΑΓΗΤΟΥ» του Νοσοκομείου για ένα (1) έτος (CPV: 55322000-3).			22PROC010617401	Διανομής και Παρασκευής Φαγητού	https://diavgeia.gov.gr/doc/6ΦΛ0469067-Φ1Μ
