rank	status	score	type	organization_id	object_category	chain_count	known_value	adas
1	BEST_RESEARCH_LEAD	78	cumulative_or_advanced_modification	6166	food_service	1	699998.28	6Ο0ΜΩΛΚ-ΞΧΤ
2	BEST_RESEARCH_LEAD	78	cumulative_or_advanced_modification	99221412	construction	1	684116.63	675Υ469ΗΤ5-ΧΑΚ
3	BEST_RESEARCH_LEAD	78	cumulative_or_advanced_modification	6287	cleaning	1	613038.64	ΨΛ5ΣΩ1Χ-8ΙΙ
4	BEST_RESEARCH_LEAD	78	cumulative_or_advanced_modification	5012	food_service	1	182661.67	97ΤΖ7Λ1-ΖΥΧ
5	BEST_RESEARCH_LEAD	78	cumulative_or_advanced_modification	99206911	food_service	1	120150.0	ΡΛ0Ζ469Β7Λ-ΞΒΝ
6	BEST_RESEARCH_LEAD	73	cumulative_or_advanced_modification	100081912	software_maintenance	1	3348.0	9ΨΙΕ4653Π4-81Θ
7	BEST_RESEARCH_LEAD	73	cumulative_or_advanced_modification	100015966	construction	1	2223.0	ΨΖ024653Π4-97Μ
8	BEST_RESEARCH_LEAD	73	cumulative_or_advanced_modification	100015966	construction	1	1315.0	6Ψ7Η4653Π4-Ν1Σ
9	BEST_RESEARCH_LEAD	73	cumulative_or_advanced_modification	99221012	construction	1		9ΕΤ3469ΗΛ4-1ΧΔ
10	BEST_RESEARCH_LEAD	73	cumulative_or_advanced_modification	99206920	medical_waste	1		9ΘΗΜ469Β7Θ-ΛΩΦ
11	BEST_RESEARCH_LEAD	73	cumulative_or_advanced_modification	100015966	construction	1		634Γ4653Π4-ΩΝΨ
12	BEST_RESEARCH_LEAD	73	cumulative_or_advanced_modification	100056663	food_service	1		94ΗΣ46ΜΔΨΟ-Ν0Ω
13	BEST_RESEARCH_LEAD	73	cumulative_or_advanced_modification	99221315	other	1		ΨΤΠΞ469ΗΙΖ-ΙΛ7
14	BEST_RESEARCH_LEAD	73	cumulative_or_advanced_modification	100015966	food_service	1		9ΒΧΠ4653Π4-ΥΡΡ
15	BEST_RESEARCH_LEAD	69	cumulative_or_advanced_modification	100054495	food_service	1	11568736.62	ΨΒΧ746ΜΤΛΡ-ΥΝΠ
16	BEST_RESEARCH_LEAD	69	cumulative_or_advanced_modification	14915	food_service	1	960500.0	65ΔΓΚΝ3-ΜΔ9
17	BEST_RESEARCH_LEAD	69	cumulative_or_advanced_modification	100063383	software_maintenance	1	599940.0	ΨΩ6Α46ΜΝΠ3-Ψ51
18	BEST_RESEARCH_LEAD	69	cumulative_or_advanced_modification	100063383	software_maintenance	1	599407.0	Ψ6ΟΞ46ΜΝΠ3-ΣΒΛ
19	BEST_RESEARCH_LEAD	69	cumulative_or_advanced_modification	99206922	cleaning	1	524623.96	ΡΡ70469Β7Τ-Γ5Ν
20	BEST_RESEARCH_LEAD	69	cumulative_or_advanced_modification	100063383	medical_waste	1	524352.0	9ΡΣ446ΜΝΠ3-ΧΤ1
21	BEST_RESEARCH_LEAD	69	cumulative_or_advanced_modification	100055968	medical_waste	1	432250.74	6ΒΜ546Μ3ΘΘ-4Τ1
22	BEST_RESEARCH_LEAD	69	cumulative_or_advanced_modification	100063383	software_maintenance	1	429989.0	9ΡΚ946ΜΝΠ3-ΛΔ0
23	BEST_RESEARCH_LEAD	69	cumulative_or_advanced_modification	100063383	medical_waste	1	427333.0	65ΔΠ46ΜΝΠ3-243
24	BEST_RESEARCH_LEAD	69	cumulative_or_advanced_modification	100063383	medical_waste	1	399133.0	694Σ46ΜΝΠ3-59Δ
25	BEST_RESEARCH_LEAD	69	cumulative_or_advanced_modification	100063383	medical_waste	1	354890.0	665Υ46ΜΝΠ3-57Θ
