run,seed,review_priority,ada,organization,subject,stage,amount_eur,supplier_name,official_url,families
1,5601,80,6Ω7ΝΩ9Α-ΗΔΞ,ΔΗΜΟΣ ΔΟΜΟΚΟΥ,"Απόφαση Δημάρχου απευθείας ανάθεσης
 «ΑΠΟΨΙΛΩΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ ΧΩΡΩΝ Δ.Ε. ΘΕΣΣΑΛΙΩΤΙΔΑΣ»",award,29999.68,,https://diavgeia.gov.gr/doc/6Ω7ΝΩ9Α-ΗΔΞ,repeated_procedure_choice | cumulative_near_band_pattern
1,5601,80,98Β2Ω9Α-Δ30,ΔΗΜΟΣ ΔΟΜΟΚΟΥ,"Απόφαση Δημάρχου απευθείας ανάθεσης
 «ΑΠΟΨΙΛΩΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ ΧΩΡΩΝ Δ.Ε. ΔΟΜΟΚΟΥ»",award,37200.0,,https://diavgeia.gov.gr/doc/98Β2Ω9Α-Δ30,repeated_procedure_choice | cumulative_near_band_pattern
1,5601,80,Ρ693Ω9Α-891,ΔΗΜΟΣ ΔΟΜΟΚΟΥ,"Απόφαση Δημάρχου απευθείας ανάθεσης
 «ΑΠΟΨΙΛΩΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ ΧΩΡΩΝ Δ.Ε. ΘΕΣΣΑΛΙΩΤΙΔΑΣ»",award,24888.66,,https://diavgeia.gov.gr/doc/Ρ693Ω9Α-891,repeated_procedure_choice | cumulative_near_band_pattern
1,5601,80,9ΥΞΘΩ9Α-ΓΙΡ,ΔΗΜΟΣ ΔΟΜΟΚΟΥ,"Απόφαση Δημάρχου απευθείας ανάθεσης για
 «ΑΠΟΨΙΛΩΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ ΧΩΡΩΝ Δ.Ε. ΞΥΝΙΑΔΑΣ»",award,24924.0,,https://diavgeia.gov.gr/doc/9ΥΞΘΩ9Α-ΓΙΡ,repeated_procedure_choice | cumulative_near_band_pattern
2,5602,80,ΡΘΜΤΩΛ7-ΜΓΟ,ΔΗΜΟΣ ΚΟΡΙΝΘΙΩΝ,"Απόφαση Ανάληψης Υποχρέωσης Καθαρισμός-αποψίλωση περιαστικών δασών και αλσύλλιων Δήμου Κορινθίων. Μίσθωση Μ.Ε για την δημιουργία αντιπυρικών ζωνών στις περιοχές που έλαβε χώρα η φωτιά στις 17/7/2024. Σύμβαση αρ.πρωτ.: 36415/2024 (ΑΔΑΜ: 24SYMV015162792), ποσού 9.100,00€.",contract,9100.0,,https://diavgeia.gov.gr/doc/ΡΘΜΤΩΛ7-ΜΓΟ,supplier_object_pattern | duplicate_or_template_burst
2,5602,80,Ρ2ΖΦΩΛ7-ΜΒΟ,ΔΗΜΟΣ ΚΟΡΙΝΘΙΩΝ,"Απόφαση Ανάληψης Υποχρέωσης Καθαρισμός-αποψίλωση περιαστικών δασών και αλσύλλιων Δήμου Κορινθίων. Μίσθωση Μ.Ε για την δημιουργία αντιπυρικών ζωνών στις περιοχές που έλαβε χώρα η φωτιά στις 17/7/2024. Σύμβαση αρ.πρωτ.: 36415/2024 (ΑΔΑΜ: 24SYMV015162792), ποσού 9.100,00€.",contract,9100.0,,https://diavgeia.gov.gr/doc/Ρ2ΖΦΩΛ7-ΜΒΟ,supplier_object_pattern | duplicate_or_template_burst
2,5602,80,Ρ1ΑΜΩΛ7-757,ΔΗΜΟΣ ΚΟΡΙΝΘΙΩΝ,"Απόφαση Ανάληψης Υποχρέωσης Καθαρισμός-αποψίλωση περιαστικών δασών και αλσύλλιων Δήμου Κορινθίων. Μίσθωση Μ.Ε για την δημιουργία αντιπυρικών ζωνών στις περιοχές που έλαβε χώρα η φωτιά στις 17/7/2024. Σύμβαση αρ.πρωτ.: 36415/2024 (ΑΔΑΜ: 24SYMV015162792), ποσού 9.100,00€.",contract,9100.0,,https://diavgeia.gov.gr/doc/Ρ1ΑΜΩΛ7-757,supplier_object_pattern | duplicate_or_template_burst
2,5602,80,ΡΕΑΦΩΛ7-Ξ2Ζ,ΔΗΜΟΣ ΚΟΡΙΝΘΙΩΝ,"Απόφαση Ανάληψης Υποχρέωσης Καθαρισμός-αποψίλωση περιαστικών δασών και αλσύλλιων Δήμου Κορινθίων. Μίσθωση Μ.Ε για την δημιουργία αντιπυρικών ζωνών στις περιοχές που έλαβε χώρα η φωτιά στις 17/7/2024. Σύμβαση αρ.πρωτ.: 36415/2024 (ΑΔΑΜ: 24SYMV015162792), ποσού 9.100,00€.",contract,9100.0,,https://diavgeia.gov.gr/doc/ΡΕΑΦΩΛ7-Ξ2Ζ,supplier_object_pattern | duplicate_or_template_burst
2,5602,80,61ΓΘΩΛ7-510,ΔΗΜΟΣ ΚΟΡΙΝΘΙΩΝ,"Απόφαση Ανάληψης Υποχρέωσης Καθαρισμός-αποψίλωση περιαστικών δασών και αλσύλλιων Δήμου Κορινθίων. Μίσθωση Μ.Ε για την δημιουργία αντιπυρικών ζωνών στις περιοχές που έλαβε χώρα η φωτιά στις 17/7/2024. Σύμβαση αρ.πρωτ.: 36415/2024 (ΑΔΑΜ: 24SYMV015162792), ποσού 9.100,00€.",contract,9100.0,,https://diavgeia.gov.gr/doc/61ΓΘΩΛ7-510,supplier_object_pattern | duplicate_or_template_burst
2,5602,80,ΨΞΧΔΩΛ7-ΥΦ3,ΔΗΜΟΣ ΚΟΡΙΝΘΙΩΝ,"Δαπάνη για μίσθωση Μ.Ε για την δημιουργία αντιπυρικών ζωνών σύμφωνα με τη σύμβαση αρ.πρωτ. 36415/2024 ΑΔΑΜ 24SYMV015162792 ποσού 9.100,00 ευρώ",payment,9100.0,ΚΕΦΙΛΗΣ ΓΕΩΡΓΙΟΣ -ΕΡΓΑΣΙΕΣ ΕΚΣΚΑΦΗΣ -,https://diavgeia.gov.gr/doc/ΨΞΧΔΩΛ7-ΥΦ3,supplier_object_pattern | duplicate_or_template_burst
